"Type","Date","Part.of.a.policing.operation","Policing.operation","Latitude","Longitude","Gender","Age.range","Self.defined.ethnicity","Officer.defined.ethnicity","Legislation","Object.of.search","Outcome","Outcome.linked.to.object.of.search","Removal.of.more.than.just.outer.clothing","lsoa21cd","lsoa21nm"
"Person search","2019-06-01T17:16:00+00:00","False",NA,53.496631,-2.248696,"Male","25-34","Asian/Asian British - Pakistani","Asian","Police and Criminal Evidence Act 1984 (section 1)","Anything to threaten or harm anyone","Arrest","False","False","E01033674","Manchester 058C"
"Person search","2019-06-01T18:20:00+00:00","False",NA,53.517856,-2.126721,"Female","","White - English/Welsh/Scottish/Northern Irish/British","White","Police and Criminal Evidence Act 1984 (section 1)","Firearms","A no further action disposal","","False","E01005377","Oldham 030A"
"Person search","2019-06-01T18:40:00+00:00","True",NA,53.479028,-2.246198,"Male","25-34","Mixed/Multiple ethnic groups - White and Black Caribbean","Black","Police and Criminal Evidence Act 1984 (section 1)","Offensive weapons","A no further action disposal","","False","E01033658","Manchester 054C"
"Person search","2019-06-01T18:40:00+00:00","True",NA,53.479028,-2.246198,"Male","over 34","White - English/Welsh/Scottish/Northern Irish/British","White","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","A no further action disposal","","False","E01033658","Manchester 054C"
"Person search","2019-06-01T18:40:00+00:00","True",NA,53.479028,-2.246198,"Male","over 34","Mixed/Multiple ethnic groups - White and Black Caribbean","Black","Police and Criminal Evidence Act 1984 (section 1)","Offensive weapons","A no further action disposal","","False","E01033658","Manchester 054C"
"Person search","2019-06-01T18:45:00+00:00","True",NA,53.479028,-2.246198,"Male","18-24","White - English/Welsh/Scottish/Northern Irish/British","White","Police and Criminal Evidence Act 1984 (section 1)","Offensive weapons","A no further action disposal","","False","E01033658","Manchester 054C"
"Person search","2019-06-01T18:50:00+00:00","True",NA,53.479028,-2.246198,"Male","25-34","White - Any other White background","White","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","A no further action disposal","","False","E01033658","Manchester 054C"
"Person search","2019-06-01T18:55:00+00:00","True",NA,53.479028,-2.246198,"Male","over 34","White - English/Welsh/Scottish/Northern Irish/British","White","Police and Criminal Evidence Act 1984 (section 1)","Offensive weapons","A no further action disposal","","False","E01033658","Manchester 054C"
"Person search","2019-06-01T19:05:00+00:00","True",NA,53.479028,-2.246198,"Male","over 34","White - English/Welsh/Scottish/Northern Irish/British","White","Police and Criminal Evidence Act 1984 (section 1)","Offensive weapons","A no further action disposal","","False","E01033658","Manchester 054C"
"Person search","2019-06-01T19:10:00+00:00","True",NA,53.479028,-2.246198,"Male","over 34","White - Any other White background","White","Police and Criminal Evidence Act 1984 (section 1)","Offensive weapons","A no further action disposal","","False","E01033658","Manchester 054C"
